ID,Level of Code,"Building
Type",Dy,Ay,Du,Au
S1LH,H,S1L,15.5194,0.25,372.5418,0.749
S1MH,H,S1M,45.085,0.156,721.36,0.468
S1HH,H,S1H,118.2878,0.098,1419.4536,0.293
C1LH,H,C1L,9.9314,0.25,238.4298,0.749
C1MH,H,C1M,29.2608,0.208,468.2744,0.624
C1HH,H,C1H,51.0794,0.098,612.902,0.293
RM1LH,H,RM1L,16.2306,0.533,259.8166,1.066
RM1MH,H,RM1M,35.1536,0.444,374.904,0.889
URMLH,H,URML,6.096,0.2,60.8838,0.4
URMMH,H,URMM,6.9088,0.111,46.0248,0.222
S1LM,M,S1L,7.7724,0.125,139.7,0.375
S1MM,M,S1M,22.5552,0.078,270.5354,0.234
S1HM,M,S1H,59.1566,0.049,532.3078,0.147
C1LM,M,C1L,4.9784,0.125,89.408,0.375
C1MM,M,C1M,14.6304,0.104,175.6156,0.312
C1HM,M,C1H,25.527,0.049,229.8446,0.147
RM1LM,M,RM1L,8.128,0.267,97.4344,0.533
RM1MM,M,RM1M,17.5768,0.222,140.589,0.444
URMLM,M,URML,6.096,0.2,60.8838,0.4
URMMM,M,URMM,6.9088,0.111,46.0248,0.222
S1LL,L,S1L,3.8862,0.062,58.2168,0.187
S1ML,L,S1M,11.2776,0.039,112.6998,0.117
S1HL,L,S1H,29.5656,0.024,221.7928,0.073
C1LL,L,C1L,2.4892,0.062,37.2618,0.187
C1ML,L,C1M,7.3152,0.052,73.1774,0.156
C1HL,L,C1H,12.7762,0.024,95.758,0.073
RM1LL,L,RM1L,4.064,0.133,40.5892,0.267
RM1ML,L,RM1M,8.7884,0.111,58.5724,0.222
URMLL,L,URML,6.096,0.2,60.8838,0.4
URMML,L,URMM,6.9088,0.111,46.0248,0.222
S1LP,P,S1L,3.8862,0.062,58.2168,0.187
S1MP,P,S1M,11.2776,0.039,112.6998,0.117
S1HP,P,S1H,29.5656,0.024,221.7928,0.073
C1LP,P,C1L,2.4892,0.062,37.2618,0.187
C1MP,P,C1M,7.3152,0.052,73.1774,0.156
C1HP,P,C1H,12.7762,0.024,95.758,0.073
RM1LP,P,RM1L,4.064,0.133,40.5892,0.267
RM1MP,P,RM1M,8.7884,0.111,58.5724,0.222
URMLP,P,URML,6.096,0.2,60.8838,0.4
URMMP,P,URMM,6.9088,0.111,46.0248,0.222
